query,rank,chunk_id,score,source,document_id,page,section,text
What are the indications for testing for H. pylori?,1,ACG_0021,0.7205,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,5,INDICATIONS FOR HELICOBACTER PYLORI TESTING AND TREATMENT,"Table 4. Indications for H. pylori testing and treatment Groups to test and treat for H. pylori infectiona: • Peptic ulcer disease: prior history or active disease • Marginal zone B-cell lymphoma, MALT type • Uninvestigated dyspepsia in patients who are under the age of 60 years ‐ In high-risk populations for gastric cancer, test and treat at age 45-50 years • Functional dyspepsia • Adult household members of individuals who have a positive non-serological test for H. pylori • Patients taking long-term NSAIDs or starting long-term treatment with low-dose aspirin • Patients with unexplained iron deficiency anemia • Patients with idiopathic (autoimmune) thrombocytopenic purpura • Primary and secondary prevention of gastric adenocarcinoma ‐ Current or history of gastric premalignant conditions (GPMC)b ‐ Current or history of early gastric cancer resection ‐ Current or prior history of gastric adenocarcinoma ‐ Patients with gastric adenomas or hyperplastic polypsc ‐ Persons with a first degree relative with gastric cancerd ‐ Individuals at increased risk for gastric cancer including certain non-White racial/ethnic groups, immigrants from high gastric cancer incidence regions/ countries, hereditary cancer syndromes associated with an increased risk for gastric cancerd ‐ Patients with autoimmune gastritis aIn the absence of contraindications, H. pylori treatment should be offered to all patients with active H. pylori infection, as indicated by a positive non-serological test."
What are the indications for testing for H. pylori?,2,ACG_0054,0.6438,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,POST-TREATMENT TESTING FOR CURE,"Similar to urea breath testing and fecal antigen testing, the sensitivity of endoscopic tests for H. pylori is reduced by the recent use of PPIs (and possibly PCABs), bismuth, or antibiotics. These drugs should be withheld before endoscopic testing for the same duration as for the nonendoscopic tests. In experienced hands, H. pylori organisms are readily identified on histology with hematoxylin & eosin staining. In biopsies from patients with a high suspicion for H. pylori infection but no organisms by hematoxylin & eosin staining, such as patients who demonstrate chronic or chronic active gastritis, special stains including Giemsa, Warthin-Starry (silver), or immunohistochemistry can improve the ability to detect H. pylori organisms (103). A positive biopsy urease test result may be adequate to identify ongoing infection, but a negative result, without corroboration by other post-treatment testing, should not be considered definitive proof of successful H. pylori eradication (104). Without testing for cure, patients with persistent infection remain at risk of potentially serious sequelae of infection including peptic ulcer, gastric adenocarcinoma, and gastric MALT lymphoma. In patients with dyspepsia and H. pylori infection, symptom response correlates poorly with treatment success. Thus, testing for H. pylori cure should be performed in all patients with dyspepsia who were treated for the infection irrespective of post-treatment symptoms. Results will inform clinicians either to consider an alternative treatment for H. pylori in those with persistent infection or a different dyspepsia treatment strategy in those with successful eradication."
What are the indications for testing for H. pylori?,3,ACG_0084,0.6429,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,19,ANTIBIOTIC SUSCEPTIBILITY TESTING,"6. H. pylori antibiotic susceptibility tests using either phenotypic (culture-based) or molecular methods (polymerase chain reaction [PCR] or next-generation sequencing [NGS]) are becoming increasingly available in the United States. The incremental benefit of selecting an eradication regimen ""tailored"" to the antibiotic susceptibility profile compared with empiric selection of eradication therapy remains to be adequately defined and studied—for both treatment-naive and treatment-experienced patients. Based on expert consensus, we advise using antibiotic susceptibility testing whenever the choice of therapy remains unclear after taking into consideration any previous treatments for H. pylori infection, past antibiotic exposure more generally, and whether there is a documented history of penicillin allergy. A natural consequence of the formal classification of H. pylori infection as an infectious disease is that treatment selection should be guided by the likely or actual antibiotic susceptibility of the organism in an individual patient. This tailored approach, contrasting with the empiric approach that has been followed in the past, has the potential to improve success rates and to reduce the occurrence and impact of inappropriate antibiotic pre-scription (120). Antibiotic susceptibility in H. pylori can be evaluated phenotypically, through bacterial culture and measuring growth inhibition by specific antibiotic exposure, or genetically through molecular analysis. Culture can be performed in several ways, with no universally accepted international gold-standard (121,122). Although culture-based H. pylori susceptibility testing is available in the United States, it is not widely used as a consequence of operational/workflow complexities, low rates of successful culture, and uncertainty over the incremental value of culture-based susceptibility results in treatment selection (123). Molecular testing for genetic variants that confer resistance to certain antibiotics is becoming increasingly available."
What are the indications for testing for H. pylori?,4,ACG_0017,0.6299,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,5,INDICATIONS FOR HELICOBACTER PYLORI TESTING AND TREATMENT,"2. The determination of when to test for—and treat—H. pylori should be viewed as a single, rather than 2 separate and distinct, decisions. Testing for, and treatment of, H. pylori infection should be viewed as dependent rather than independent actions. H. pylori infection is an infectious disease with the potential for serious clinical consequences, including gastric cancer. Therefore, all patients with an indication for testing should be offered effective treatment if confirmed to have active infection—and should subsequently undergo a test-of-cure after treatment. The indications to test for and treat H. pylori infection are summarized in Table 4. The detailed supporting evidence for many of the indications to test for H. pylori infection is reviewed in the previous guideline. Newer information regarding testing indications is briefly summarized herein."
What are the indications for testing for H. pylori?,5,ACG_0004,0.6284,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,2,INTRODUCTION,"We also discuss the critically important, but too often overlooked, issue of post-treatment testing to confirm H. pylori eradication. The primary purpose of this ACG CPG is to provide practical, actionable advice on the treatment of H. pylori infection in North America. These guidelines are presented in the format of statements that were deemed to be clinically important by the content authors. The Grading of Recommendations, Assessment, Development, and Evaluation (GRADE) process was used to assess the quality of evidence for each statement (Table 1). The quality of evidence is expressed as high (we are confident in the effect estimate to support a particular recommendation), moderate, low, or very low (we have very little confidence in the effect estimate to support a particular recommendation) based on the risk of bias of the studies, evidence of publication bias, heterogeneity among studies, directness of the evidence, and precision ofthe estimate of effect (2). A strength of recommendation is given as either strong (recommendations) or conditional (suggestions) based on the quality of evidence, risks vs benefits, feasibility, and costs considering perceived patient-based and population-based factors (5). Furthermore, a narrative evidence summary for each section provides important definitions and further details for the data supporting the statements. The guideline is structured in the format of key concepts, recommendations, and summaries of the evidence. Key concepts are statements that are not amenable to the GRADE process, either because of the structure of the statement or the available evidence. In some instances, key concepts are based on extrapolation of evidence and/or expert consensus. This guideline used GRADE methodology to evaluate treatment options for patients with H. pylori infection."
What is the recommended duration of H. pylori treatment?,1,ACG_0072,0.6923,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,17,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"5. In treatment-experienced patients with persistent H. pylori infection that is confirmed to be clarithromycin-sensitive, PPI- or PCAB-clarithromycin triple therapy is suggested. As the recommendations of this guideline for the first-line treatment of H. pylori infection are incorporated into clinical practice, a larger proportion of treatment-experienced patients with persistent H. pylori infection will have previously been treated with BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. If, related to previous use, high cost, or a lack of availability, treatment regimens containing clarithromycin or levofloxacin need to be considered, antibiotic susceptibility testing (see Key concept 6) should be performed. Here, we discuss clarithromycin triple therapy as salvage therapy, whereas quinolone-based salvage therapy is discussed below. There are no RCTs or robust observational data from North America that evaluate clarithromycin triple therapy as salvage therapy after BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. Thus, the guideline panel used expert consensus to suggest PPI- or PCAB-clarithromycin triple salvage therapy in patients with persistent H. pylori infection confirmed to be sensitive to clarithromycin by antibiotic susceptibility testing. As noted above, the bactericidal activity of clarithromycin and amoxicillin on susceptible H. pylori strains is critically dependent on achieving and maintaining adequate gastric acid suppression (intragastric pH .6)."
What is the recommended duration of H. pylori treatment?,2,ACG_0011,0.6617,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,3,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"Recommendations for treatment-experienced patients with persistent H. pylori infection 6. In treatment-experienced patients with persistent H. pylori infection who have not previously received bismuth quadruple therapy, optimized bismuth quadruple therapy is suggested (conditional recommendation; very low quality of evidence) 7. In treatment-experienced patients with persistent H. pylori infection who have previously received PPI-clarithromycin triple therapy, optimized bismuth quadruple therapy is suggested (conditional recommendation; low quality of evidence) 8. In treatment-experienced patients with persistent H. pylori infection who have received bismuth quadruple therapy, rifabutin triple therapy is suggested (conditional recommendation; low quality of evidence) 9. In treatment-experienced patients with persistent H. pylori infection who have not previously received optimized bismuth quadruple therapy, optimized bismuth quadruple therapy is suggested over quinolone-based therapy (conditional recommendation; low quality of evidence) 10. In treatment-experienced patients with persistent H. pylori infection, levofloxacin triple therapy is suggested in patients with known levofloxacin-sensitive H. pylori strains and when optimized bismuth quadruple or rifabutin triple therapies have previously been used or are unavailable (conditional recommendation, low quality of evidence) 11. In treatment-experienced patients with persistent H. pylori infection, there is insufficient evidence from North America to recommend high-dose PPI or PCAB dual therapy (no recommendation; evidence gap) 12."
What is the recommended duration of H. pylori treatment?,3,ACG_0074,0.6514,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,18,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"9. In treatment-experienced patients with persistent H. pylori infection who have not previously received optimized BQT, optimized BQT is suggested over quinolone-based therapy (conditional recommendation; low quality of evidence)."
What is the recommended duration of H. pylori treatment?,4,ACG_0005,0.6378,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,2,INTRODUCTION,"In some instances, key concepts are based on extrapolation of evidence and/or expert consensus. This guideline used GRADE methodology to evaluate treatment options for patients with H. pylori infection. We summarize treatment recommendations for patients with active H. pylori infection, as confirmed by a nonserological test, who have not been previously treated (i.e., ""treatment-naive"" patients) and those with persistent infection despite previous attempt(s) at eradication (i.e., ""treatment-experienced"" patients). Readers will notice substantial changes from the recommendations offered in the 2017 ACG CPG (6). These changes were largely motivated by important new data from North America including: 1. Rising rates of resistance to key antibiotics used to treat H. pylori, including clarithromycin and levofloxacin. This has led to reduced effectiveness of commonly used treatment regimens that contain these antibiotics. 2. Studies that have been conducted with novel treatment regimens featuring new antibiotic options (i.e., rifabutin) or more potent, next-generation gastric acid-suppressing agents (i.e., potassium-competitive acid blockers; PCABs) in treatment-naive individuals. As in previous versions, recommendations were based on the current, best available evidence with prioritization of evidence from studies conducted in North America. When unavailable, recommendations were based on studies conducted in other parts of the world and expert consensus."
What is the recommended duration of H. pylori treatment?,5,ACG_0055,0.6361,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,POST-TREATMENT TESTING FOR CURE,"Results will inform clinicians either to consider an alternative treatment for H. pylori in those with persistent infection or a different dyspepsia treatment strategy in those with successful eradication. A negative post-treatment test result should be reassuring to patients and providers alike as a meta-analysis reported recurrence rates of 1% (95% CI 0.3%-3%) per year for persons in the United States who are successfully eradicated of their H. pylori infection. Thus, with the exception of Alaskan natives who have an H. pylori recurrence rate of more than 8%, recurrence of H. pylori infection after an evidence-based treatment regimen is quite rare in the United States (105). An added benefit of routinely testing for cure is the ability of providers to monitor their local treatment results and to change their approach if results with certain regimens are suboptimal (e.g., if under 85%). Low eradication rates in first-line therapy should prompt consideration of testing for resistance and/or adopting a different empiric regimen. It is encouraging that the recommendation for routine post-treatment test of cure in the 2017 ACG guideline has been accompanied by improved rates of post-treatment testing in clinical practice in the United States, from under 25% in 2005 to 60%-80%by 2019 (57,60,106). Nevertheless, these improvements should not discourage healthcare providers from further attempts at improving adherence to the recommendation for universal post-treatment testing."
What should be done after H. pylori treatment fails?,1,ACG_0055,0.6944,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,POST-TREATMENT TESTING FOR CURE,"Results will inform clinicians either to consider an alternative treatment for H. pylori in those with persistent infection or a different dyspepsia treatment strategy in those with successful eradication. A negative post-treatment test result should be reassuring to patients and providers alike as a meta-analysis reported recurrence rates of 1% (95% CI 0.3%-3%) per year for persons in the United States who are successfully eradicated of their H. pylori infection. Thus, with the exception of Alaskan natives who have an H. pylori recurrence rate of more than 8%, recurrence of H. pylori infection after an evidence-based treatment regimen is quite rare in the United States (105). An added benefit of routinely testing for cure is the ability of providers to monitor their local treatment results and to change their approach if results with certain regimens are suboptimal (e.g., if under 85%). Low eradication rates in first-line therapy should prompt consideration of testing for resistance and/or adopting a different empiric regimen. It is encouraging that the recommendation for routine post-treatment test of cure in the 2017 ACG guideline has been accompanied by improved rates of post-treatment testing in clinical practice in the United States, from under 25% in 2005 to 60%-80%by 2019 (57,60,106). Nevertheless, these improvements should not discourage healthcare providers from further attempts at improving adherence to the recommendation for universal post-treatment testing."
What should be done after H. pylori treatment fails?,2,ACG_0011,0.6204,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,3,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"Recommendations for treatment-experienced patients with persistent H. pylori infection 6. In treatment-experienced patients with persistent H. pylori infection who have not previously received bismuth quadruple therapy, optimized bismuth quadruple therapy is suggested (conditional recommendation; very low quality of evidence) 7. In treatment-experienced patients with persistent H. pylori infection who have previously received PPI-clarithromycin triple therapy, optimized bismuth quadruple therapy is suggested (conditional recommendation; low quality of evidence) 8. In treatment-experienced patients with persistent H. pylori infection who have received bismuth quadruple therapy, rifabutin triple therapy is suggested (conditional recommendation; low quality of evidence) 9. In treatment-experienced patients with persistent H. pylori infection who have not previously received optimized bismuth quadruple therapy, optimized bismuth quadruple therapy is suggested over quinolone-based therapy (conditional recommendation; low quality of evidence) 10. In treatment-experienced patients with persistent H. pylori infection, levofloxacin triple therapy is suggested in patients with known levofloxacin-sensitive H. pylori strains and when optimized bismuth quadruple or rifabutin triple therapies have previously been used or are unavailable (conditional recommendation, low quality of evidence) 11. In treatment-experienced patients with persistent H. pylori infection, there is insufficient evidence from North America to recommend high-dose PPI or PCAB dual therapy (no recommendation; evidence gap) 12."
What should be done after H. pylori treatment fails?,3,ACG_0056,0.6062,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"Treatment of patients with persistent H. pylori infection despite 1 previous course of eradication therapy is considered ""second-line"" therapy. Treatment of patients with persistent H. pylori infection despite 2 previous courses of eradication therapy is referred to as ""third-line"" therapy. The umbrella term ""salvage therapy"" refers to any treatment provided to patients with persistent H. pylori infection despite initial therapy. Table 6 summarizes the recommended and suggested regimens for treatment-experienced patients with persistent H. pylori infection. Figures 3 and 4 are algorithms intended to assist providers to choose among the recommended and suggested treatment options. Of the recommended and suggested salvage regimens, only optimized BQT is suitable for patients with a true penicillin allergy. When optimized BQT is not an appropriate option for a patient with suspected penicillin allergy, we suggest referral to an allergist to confirm a true allergy and to consider penicillin desensitization."
What should be done after H. pylori treatment fails?,4,ACG_0072,0.6004,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,17,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"5. In treatment-experienced patients with persistent H. pylori infection that is confirmed to be clarithromycin-sensitive, PPI- or PCAB-clarithromycin triple therapy is suggested. As the recommendations of this guideline for the first-line treatment of H. pylori infection are incorporated into clinical practice, a larger proportion of treatment-experienced patients with persistent H. pylori infection will have previously been treated with BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. If, related to previous use, high cost, or a lack of availability, treatment regimens containing clarithromycin or levofloxacin need to be considered, antibiotic susceptibility testing (see Key concept 6) should be performed. Here, we discuss clarithromycin triple therapy as salvage therapy, whereas quinolone-based salvage therapy is discussed below. There are no RCTs or robust observational data from North America that evaluate clarithromycin triple therapy as salvage therapy after BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. Thus, the guideline panel used expert consensus to suggest PPI- or PCAB-clarithromycin triple salvage therapy in patients with persistent H. pylori infection confirmed to be sensitive to clarithromycin by antibiotic susceptibility testing. As noted above, the bactericidal activity of clarithromycin and amoxicillin on susceptible H. pylori strains is critically dependent on achieving and maintaining adequate gastric acid suppression (intragastric pH .6)."
